date,country_territory_area,total_confirmed_cases,total_confirmed_new_cases,total_deaths,total_new_deaths
2020/01/01,Kenya,582,47,26,0
2020/01/01,Kenya,607,25,29,3
2020/01/01,Kosovo,862,1,28,1
2020/01/01,Kosovo,870,8,28,0
2020/01/01,Kyrgyzstan,871,28,12,2
2020/01/01,Latvia,896,17,16,0
2020/01/01,Latvia,896,0,17,1
2020/01/01,Latvia,900,4,17,0
2020/01/01,Latvia,928,19,18,0
2020/01/01,Latvia,930,2,18,0
2020/01/01,Lebanon,740,3,25,0
2020/01/01,Lebanon,741,1,25,0
2020/01/01,Lebanon,750,9,25,0
2020/01/01,Lebanon,784,34,25,0
2020/01/01,Lebanon,796,12,26,1
2020/01/01,Lebanon,809,13,26,0
2020/01/01,Libya,63,0,3,0
2020/01/01,Libya,63,0,3,0
2020/01/01,Libya,64,1,3,0
2020/01/01,Libya,64,0,3,0
2020/01/01,Libya,64,0,3,0
2020/01/01,Libya,64,0,3,0
2020/01/01,Liechtenstein,83,0,1,0
2020/01/01,Lithuania,1419,9,46,0
2020/01/01,Lithuania,1423,4,46,0
2020/01/01,Lithuania,1428,5,48,2
2020/01/01,Lithuania,1436,3,49,0
2020/01/01,Lithuania,1444,8,50,1
2020/01/01,Luxembourg,3859,8,100,2
2020/01/01,Madagascar,193,35,0,0
2020/01/01,Malaysia,6353,55,105,0
2020/01/01,Malaysia,6383,30,106,1
2020/01/01,Malaysia,6428,45,107,1
2020/01/01,Malaysia,6467,39,107,0
2020/01/01,Malaysia,6535,68,107,0
2020/01/01,Maldives,573,28,2,1
2020/01/01,Mali,580,17,29,2
2020/01/01,Mali,631,19,32,0
2020/01/01,Mali,650,19,32,0
2020/01/01,Malta,482,2,5,1
2020/01/01,Martinique,181,0,14,0
2020/01/01,Martinique,182,1,14,0
2020/01/01,Martinique,183,1,14,0
2020/01/01,Martinique,186,3,14,0
2020/01/01,Mauritania,8,0,1,9
2020/01/01,Mauritius,332,0,10,0
2020/01/01,Mauritius,332,0,10,0
2020/01/01,Mauritius,332,0,10,0
2020/01/01,Mauritius,332,0,10,0
2020/01/01,Mauritius,332,0,10,0
2020/01/01,Mexico,23471,1383,2154,93
2020/01/01,Mexico,24905,1434,2271,117
2020/01/01,Mexico,26025,1120,2507,236
2020/01/01,Mexico,27634,1609,2704,197
